Park Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Average
Mount Rushmore NMEM,1789328,2260192,2331237,2081722,2185447,2162998,2144808,2434297,2431231,2437800,2225906
Muir Woods NM,838292,779880,834356,897131,972331,954125,1049400,1099923,1123121,1062099,961066
Natchez NHP,232470,218126,206870,206624,184551,191095,215257,204332,204120,233339,209678
Natchez Trace PKWY,5747235,5934363,5910950,5765343,5560668,6012740,5846474,5785812,5891315,6326062,5878096
National Capital Parks Central,2559653,3678876,1363389,1240717,858700,1712858,1999232,1833085,1813222,1932762,1899249
National Capital Parks East,1296990,1272212,1181960,1167393,923054,1091661,1311995,1220403,1224671,1366142,1205648
National Park of American Samoa,3683,3242,3006,8716,10440,17919,13953,13892,28892,69468,17321
Natural Bridges NM,91838,92023,95676,91184,89011,82330,87119,94797,101843,107443,93326
Navajo NM,74143,77901,90696,87388,58219,54168,65778,71370,65705,68785,71415
New Bedford Whaling NHP,281512,279803,277681,273862,269885,276374,272731,167790,145500,166894,241203
New Orleans Jazz NHP,66726,80828,80195,130393,177909,198363,36017,58188,35514,40814,90495
New River Gorge NR,1212854,1144318,1151213,1071088,1128195,1071823,1124799,1178753,1197931,1168658,1144963
Nez Perce NHP,207250,176238,193000,286259,233093,297973,221439,224967,239908,238424,231855
Nicodemus NHS,2434,2978,3448,2681,3505,3241,3374,3306,3552,2916,3144
Ninety Six NHS,57304,50689,63747,70099,73044,69624,65688,80223,118002,113103,76152
Niobrara NSR,70270,68058,69705,65785,65999,71876,53443,68110,73813,80806,68787
Noatak NPRES,2147,2474,3257,11722,31000,16907,0,0,17000,17000,10151
North Cascades NP,18725,26972,24659,19208,26935,21623,23865,20677,28646,30326,24164
Obed W&SR,192154,212933,180203,212458,212446,198367,215767,214441,231390,214783,208494
Ocmulgee NM,102631,110819,109413,122722,120025,115801,122799,155388,162260,156907,127877
Olympic NP,3081451,3276459,2844563,2966502,2824908,3085340,3243872,3263761,3390221,3401996,3137907
Oregon Caves NM,73774,88496,86335,76194,78164,72717,69405,72709,80613,72212,77062
Organ Pipe Cactus NM,340290,330064,209602,211405,161743,206860,224548,222723,234186,260534,240196
Ozark NSR,1243507,1308718,1416529,1365960,1406781,1253703,1296437,1277941,1241480,1165296,1297635
Padre Island NS,635925,642163,612716,542873,573855,515830,578815,582839,634012,650197,596923
Palo Alto Battlefield NHP,45026,41599,26865,24752,36707,32522,41516,47866,58556,84361,43977
Paterson Great Falls NHP,,,,,,,,,177498,308199,242849
Pea Ridge NMP,68464,68746,115128,114234,131907,95251,104686,114578,119490,121163,105365
Pecos NHP,32701,34522,33864,43873,45568,32386,38256,30229,39715,40650,37176
Pennsylvania Avenue NHS,239785,256874,262030,236136,283232,257831,54035,0,0,108716,169864
Perry's Victory & Intl. Peace MEM,157337,154457,92944,93119,140281,158231,129440,156578,142152,84769,130931
Petersburg NB,154003,162722,175553,213261,188426,190086,205572,192655,191898,208473,188265
Petrified Forest NP,543714,631613,664725,614054,664857,644648,836799,793225,643274,627757,666467
Petroglyph NM,116620,118688,105643,114428,119444,115075,115859,117825,124177,141803,118956
Pictured Rocks NL,398774,448215,499281,561104,593587,575450,527897,723178,777428,781190,588610
Pinnacles NP,166988,171112,246575,393219,224476,237677,196635,206533,215555,233334,229210
Pipe Spring NM,47418,49433,59952,57360,54692,51118,56484,54619,46710,29065,50685
Pipestone NM,80137,69539,78108,61908,76030,64760,62151,70748,67489,76486,70736
Piscataway Park,324394,234186,248314,279060,124107,161999,109473,148729,123381,154011,190765
Point Reyes NS,2248203,2170646,2067271,2129116,2412663,2641808,2433944,2501106,2438442,2456669,2349987
Port Chicago Naval Magazine NM,,,984,545,533,596,786,963,1942,1086,929
President W.J. Clinton Birthplace Home NHS,,,,9749,8932,9838,11113,10463,10468,10177,10106
President's Park,1178845,1475182,616635,786151,600083,658065,723923,903161,989424,1477913,940938
Prince William Forest Park,345361,368365,386521,379535,280325,309298,315072,312109,344435,360540,340156
Pu'uhonua o Honaunau NHP,414667,397665,419590,426224,442353,363282,401808,437286,421027,505735,422964
Pu'ukohola Heiau NHS,92584,99042,129886,133306,134403,125645,134734,139586,138565,147259,127501
Rainbow Bridge NM,95567,113460,104501,92311,75214,54773,62910,77270,86369,108418,87079
Redwood NP,396899,444426,418820,380167,352517,393364,429166,527143,536297,445000,432380
Richmond NBP,120823,134634,130415,139376,156952,151240,179552,184175,208969,224014,163015
Rio Grande W&SR,1606,947,1103,873,694,703,321,120,463,399,723
River Raisin NBP,,,,36206,50667,57464,55281,109118,202375,238813,107132
Rock Creek Park,2076466,2076500,1883457,2050490,2003385,1968995,2437948,2443772,2478735,2483788,2190354
Rocky Mountain NP,2757390,2822325,2955821,3176941,3229617,2991141,3434751,4155916,4517585,4437215,3447870
Roger Williams NMEM,46154,50397,51559,50909,51944,48677,51523,60505,65588,80970,55823
Rosie The Riveter WWII Home Front,,,,,,31514,45549,56362,64425,60927,51755
Ross Lake NRA,253333,288458,682736,728353,742200,725917,710612,772579,905418,759656,656926
